source_date,equipment_id,burst_id,row_in_burst,source_trigger_time,source_transmission_time,rainfall_mm,source_N
2020-01-06,EI01,1,1,00:17:32,00:17:32,0.2,3
2020-01-06,EI01,1,2,,00:22:33,0.0,
2020-01-06,EI01,1,3,,00:27:34,0.2,
2020-01-06,EI01,2,1,00:49:11,00:49:11,0.2,3
2020-01-06,EI01,2,2,,00:54:13,0.0,
2020-01-06,EI01,2,3,,00:59:13,0.2,
2020-01-06,EI01,3,1,01:04:14,01:04:14,0.2,3
2020-01-06,EI01,3,2,,01:09:15,0.2,
2020-01-06,EI01,3,3,,01:14:16,0.0,
2020-01-06,EI01,4,1,01:47:27,01:47:27,0.2,3
2020-01-06,EI01,4,2,,01:52:27,0.0,
2020-01-06,EI01,4,3,,01:57:45,0.2,
2020-01-06,EI01,5,1,08:16:24,08:16:24,0.2,3
2020-01-06,EI01,5,2,,08:21:28,0.0,
2020-01-06,EI01,5,3,,08:26:26,0.2,
2020-01-06,EI01,6,1,08:31:27,08:31:27,0.2,3
2020-01-06,EI01,6,2,,08:36:28,0.0,
2020-01-06,EI01,6,3,,08:41:14,0.2,
2020-01-06,EI01,7,1,09:45:20,09:45:20,0.2,3
2020-01-06,EI01,7,2,,09:50:21,3.6,
2020-01-06,EI01,7,3,,09:55:23,0.0,
