lat,lon,loss_dB,best_sf(-1=unreachable)
30.22000,94.67000,152.21,12
30.22000,94.67183,157.99,-1
30.22000,94.67367,155.98,-1
30.22000,94.67550,156.30,-1
30.22000,94.67733,152.65,12
30.22000,94.67917,161.46,-1
30.22000,94.68100,161.33,-1
30.22000,94.68283,160.81,-1
30.22000,94.68467,161.12,-1
30.22000,94.68650,144.22,9
30.22000,94.68833,142.81,8
30.22000,94.69017,157.67,-1
30.22000,94.69200,144.97,9
30.22000,94.69383,162.96,-1
30.22000,94.69567,163.67,-1
30.22000,94.69750,163.42,-1
30.22000,94.69933,163.96,-1
30.22000,94.70117,153.51,12
30.22000,94.70300,155.97,-1
30.22000,94.70483,153.99,12
30.22000,94.70667,149.15,11
30.22000,94.70850,148.48,10
30.22000,94.71033,142.16,8
30.22000,94.71217,141.91,8
30.22000,94.71400,134.32,7
30.22000,94.71583,134.90,7
30.22000,94.71767,134.44,7
30.22000,94.71950,134.94,7
30.22000,94.72133,134.86,7
30.22000,94.72317,130.19,7
30.22000,94.72500,132.95,7
30.22000,94.72683,148.25,10
30.22000,94.72867,151.97,12
30.22000,94.73050,154.63,-1
30.22000,94.73233,155.35,-1
30.22000,94.73417,152.88,12
30.22000,94.73600,154.37,-1
30.22000,94.73783,151.57,12
30.22000,94.73967,148.99,10
30.22000,94.74150,140.30,8
30.22000,94.74333,145.99,9
30.22000,94.74517,138.95,7
30.22000,94.74700,150.17,11
30.22000,94.74883,132.28,7
30.22000,94.75067,148.63,10
30.22000,94.75250,154.05,-1
30.22000,94.75433,152.67,12
30.22000,94.75617,153.53,12
30.22000,94.75800,151.76,12
30.22000,94.75983,148.40,10
30.22000,94.76167,146.53,10
30.22000,94.76350,143.56,9
30.22000,94.76533,157.89,-1
30.22000,94.76717,154.74,-1
30.22000,94.76900,137.06,7
30.22000,94.77083,125.10,7
30.22000,94.77267,147.14,10
30.22000,94.77450,149.14,11
30.22000,94.77633,149.42,11
30.22000,94.77817,155.25,-1
30.22000,94.78000,152.53,12
30.22000,94.78183,137.54,7
30.22000,94.78367,131.44,7
30.22000,94.78550,127.20,7
30.22000,94.78733,118.67,7
30.22000,94.78917,111.89,7
30.22000,94.79100,104.58,7
30.22000,94.79283,121.33,7
30.22000,94.79467,91.49,7
30.22000,94.79650,94.42,7
30.22000,94.79833,138.61,7
30.22000,94.80017,132.05,7
30.22000,94.80200,104.62,7
30.22000,94.80383,53.16,7
30.22000,94.80567,53.18,7
30.22000,94.80750,53.21,7
30.22000,94.80933,53.23,7
30.22000,94.81117,53.26,7
30.22000,94.81300,53.29,7
30.22000,94.81483,53.32,7
30.22000,94.81667,53.35,7
30.22000,94.81850,53.39,7
30.22000,94.82033,53.42,7
30.22000,94.82217,53.46,7
30.22000,94.82400,122.06,7
30.22000,94.82583,142.88,8
30.22000,94.82767,147.02,10
30.22000,94.82950,149.70,11
30.22000,94.83133,149.52,11
30.22000,94.83317,147.31,10
30.22000,94.83500,150.35,11
30.22000,94.83683,154.22,-1
30.22000,94.83867,149.52,11
30.22000,94.84050,144.08,9
30.22000,94.84233,149.55,11
30.22000,94.84417,142.57,8
30.22000,94.84600,131.21,7
30.22000,94.84783,118.27,7
30.22000,94.84967,54.18,7
30.22000,94.85150,111.31,7
30.22000,94.85333,84.96,7
30.22000,94.85517,80.89,7
30.22000,94.85700,93.44,7
30.22000,94.85883,130.23,7
30.22000,94.86067,131.82,7
30.22000,94.86250,132.52,7
30.22000,94.86433,144.50,9
30.22000,94.86617,144.98,9
30.22000,94.86800,146.28,10
30.22000,94.86983,146.24,10
30.22000,94.87167,149.64,11
30.22000,94.87350,145.09,9
30.22000,94.87533,138.64,7
30.22000,94.87717,139.74,7
30.22000,94.87900,140.99,8
30.22000,94.88083,134.41,7
30.22000,94.88267,144.50,9
30.22000,94.88450,145.54,9
30.22000,94.88633,146.50,10
30.22000,94.88817,147.49,10
30.22000,94.89000,147.99,10
30.22183,94.67000,161.74,-1
30.22183,94.67183,145.86,9
30.22183,94.67367,160.04,-1
30.22183,94.67550,158.68,-1
30.22183,94.67733,157.51,-1
30.22183,94.67917,150.99,11
30.22183,94.68100,150.94,11
30.22183,94.68283,160.55,-1
30.22183,94.68467,161.37,-1
30.22183,94.68650,160.42,-1
30.22183,94.68833,158.00,-1
